Iteration, Train Error, Test Error
0, 778.1404756888713, 332.67094170872423
1, 778.2714611819803, 332.715621482475
2, 779.0313385615343, 333.12917280223274
3, 778.1330010453844, 332.8534389322032
4, 777.8404196044751, 332.77373859905106
5, 775.6911506158995, 331.96071771159205
6, 782.1141457390572, 334.5773850884092
7, 782.0958942000008, 334.5724788202905
8, 782.7055721051989, 334.6331790718042
9, 785.4951828899085, 335.5759989532241
10, 784.9679104254635, 335.414909213217
11, 785.4636533764403, 335.54407506111943
12, 788.7443051188727, 337.02941902669073
13, 788.4804672004941, 336.8902841377691
14, 788.1858932379063, 336.74736021147373
15, 788.123008220283, 336.71513892692013
16, 788.6610411275535, 336.91150747956846
17, 788.9972371303072, 337.11789881341167
18, 789.1256614360623, 337.25640291943097
19, 789.9053522444344, 337.3751280287014
20, 790.1092146031467, 337.4662798939544
21, 799.6837635217346, 341.2144991167667
22, 797.5692016741166, 340.4634096598153
23, 797.4470776483199, 340.47282732150535
24, 797.5948564809893, 340.56114000546245
25, 798.7779539573853, 341.03021045372725
26, 800.3339615474188, 341.3491000016064
27, 800.7806069352996, 341.544418823715
28, 801.7100708027981, 342.1287095426851
29, 799.9509562824198, 341.4264333828148
30, 797.5159232265798, 340.6183578517117
31, 794.9769693960783, 339.7007865520273
32, 795.3494273358338, 339.8606237059992
33, 795.541448120088, 339.86620643125974
34, 795.2641578647365, 339.65216802527414
35, 794.9079005763354, 339.44560242238447
36, 796.1631050173053, 339.9306196721881
37, 794.1820114289653, 339.38506898256355
38, 793.7604070743472, 339.2421420747284
39, 794.9790227911456, 339.6724909227713
40, 794.0776047599559, 339.3840114306467
41, 793.3995026482053, 339.14074055571245
42, 791.9908219000708, 338.4094541721164
43, 793.0819385638633, 338.87646022215597
44, 794.8401587101406, 339.67132924442063
45, 793.711389471457, 339.2701261375482
46, 793.5846055072109, 339.3254337735298
47, 791.9995332815423, 338.7429399023843
48, 786.2526090194069, 336.8994587000976
49, 785.8189742472678, 336.7835897403545
50, 785.7640146930968, 336.7144228714297
51, 785.676896974567, 336.6176119145436
52, 784.4294941177878, 335.89114356491285
53, 784.6413152242119, 336.0073859997549
54, 785.6629314363407, 335.9605780559595
55, 785.8001413347093, 335.9002719644452
56, 785.075992126473, 335.65008544786156
57, 784.8797987928865, 335.6039729660606
58, 780.0584950315529, 333.9245965994527
59, 780.5228342196565, 333.9613697104895
60, 780.1589503215947, 333.82311643478585
61, 778.9545956955615, 333.35009664756876
62, 778.2594453587033, 332.9329119449808
63, 778.2251825906988, 333.0894691659847
64, 777.8301725364763, 333.0529145151892
65, 778.5173801444814, 333.39099702818584
66, 777.8589720384822, 333.1488212947568
67, 776.7049989518136, 332.733495565538
68, 778.149335673967, 333.3925492986007
69, 778.2617735626056, 333.45160738003017
70, 778.3141924507831, 333.51696171854104
71, 777.8640435322168, 333.3532144682607
72, 775.8774266208616, 332.4010809894901
73, 776.8919037699284, 332.9934475704442
74, 777.4281602349579, 333.32959799474474
75, 776.9399756479543, 333.02564551299224
76, 778.3913465567982, 333.76079253811093
77, 777.4134590545057, 333.46733557313536
78, 777.1391927170413, 333.27585476250414
79, 776.5761493270768, 333.14812358416293
80, 776.0283666516441, 332.88139506118887
81, 776.3106488366684, 333.05363005883527
82, 774.5542881208202, 332.0973166762424
83, 774.0708772157985, 331.9349238717736
84, 773.8755123778494, 331.8083942871077
85, 775.7542503534123, 332.63800553364797
86, 774.7355868621988, 332.28029018583106
87, 765.8752247131182, 328.7430137775113
88, 765.2460430024169, 328.51835661010557
89, 765.662230940787, 328.7057580280586
90, 769.3319611418649, 329.85449608074657
91, 767.115010759284, 329.1205964514771
92, 766.8442822570945, 329.0396928932473
93, 767.301616222027, 329.2007106926166
94, 767.1697798984108, 329.14413746530045
95, 767.8574384735635, 329.687185553355
96, 766.6143905845314, 329.03567839906196
97, 765.8763825095441, 328.77113307675774
98, 765.7040522795784, 328.73028754724817
99, 765.3980211233784, 328.6870096645442
100, 767.7312091591142, 329.5593187114551
101, 765.8282895119089, 328.78248061600004
102, 765.9047592469379, 328.84742463955246
103, 765.994858890475, 328.77463910665557
104, 765.7193182620865, 328.71026515861627
105, 766.7146585063541, 329.1570397520974
106, 767.4333575218286, 329.3119511549561
107, 760.1701808496575, 327.2069695469221
108, 758.6438155209992, 326.7376682303906
109, 759.2657962044977, 326.89870104773263
110, 761.3182144331878, 327.60895776375685
111, 758.688708948437, 326.7764855286126
112, 758.748143494319, 326.7821946641199
113, 758.8723526927278, 326.704889859765
114, 756.1647715105452, 325.7797101975623
115, 755.783819185605, 325.74755130977456
116, 758.7438293618379, 326.98946340667214
117, 757.7300143902846, 326.56780725507303
118, 756.6885788143668, 326.2314845406405
119, 756.2780086532657, 326.08551150259893
120, 756.9832500834564, 326.13472557113744
121, 755.8054018412233, 325.8120796129528
122, 754.1677929400619, 325.2489902814003
123, 754.1874840360176, 325.1807247939802
124, 757.464540780958, 326.42021337760946
125, 754.6293150323822, 325.3492638542038
126, 753.6369309219791, 324.9129896662601
127, 751.5929642668049, 324.3366383546276
128, 751.4360801733511, 324.19371439679315
129, 751.0560734757908, 323.94247920038396
130, 750.5612964517081, 323.7486338276487
131, 751.543136749832, 323.9535333966593
132, 751.068023465659, 323.96346657126514
133, 749.8080755058378, 323.51542065814743
134, 750.3234617653893, 323.6960125858765
135, 748.8893716122232, 323.0950265307768
136, 748.8351734914179, 323.1063521240493
137, 748.8110280197143, 323.03944068128743
138, 748.6811864087908, 323.13875118453205
139, 749.0638049308311, 323.1581608515924
140, 748.455474486102, 322.90213588782666
141, 748.3657667075234, 322.8492410287646
142, 748.4151117918086, 322.7790052173854
143, 747.4979420054125, 322.2146503839365
144, 751.08993235872, 323.361453786168
145, 750.7077491162033, 323.2726263743929
146, 749.5299516874566, 322.85232869691373
147, 749.5296920074843, 322.8476552132704
148, 756.0169968398477, 326.3805867096625
149, 748.9903073739247, 322.396351247321
150, 747.8310394437136, 321.9550420787341
151, 748.263376942952, 322.22303020484406
152, 747.8488200812162, 321.9829075024813
153, 747.8948428234119, 322.11014209950247
154, 747.1641103530319, 321.74707473315834
155, 745.5832217021633, 321.18893455400297
156, 745.4255640437772, 321.1255925868497
157, 745.1603367099904, 320.9745130820557
158, 744.5750259429059, 320.732430042139
159, 746.6983801442991, 321.1337022192466
160, 744.8344938686512, 320.7775719994834
161, 745.1613879406144, 320.86529038294157
162, 744.6078681119569, 320.72632241176075
163, 745.6676379928692, 321.11166632867116
164, 745.0762587051514, 320.96419402817304
165, 741.9162393801313, 319.6950283553033
166, 742.8831602204874, 320.02121477507933
167, 743.1990057220339, 320.1326677012817
168, 742.1704683430021, 319.79691185904375
169, 741.1603427774123, 319.37799664211
170, 741.8921431792864, 319.81139011578676
171, 741.3936395419765, 319.60833565000667
172, 740.8138999355581, 319.3287333350333
173, 740.2661870701904, 319.25178663003413
174, 740.4461763040644, 319.3643825610911
175, 740.2898998134045, 319.1684478918462
176, 739.8373090785149, 319.10939558056157
177, 739.540984752268, 319.02164575140193
178, 739.6854091145497, 319.07604297216267
179, 739.4485946951522, 318.9547985572138
180, 739.0555183984607, 318.94492067167073
181, 738.8003036121837, 318.67797741599804
182, 739.0050113313936, 318.9819121973595
183, 736.9996772620885, 317.8557189664518
184, 735.9268388062075, 317.6316704769335
185, 735.7275898940825, 317.5662471089624
186, 735.5140438125976, 317.63293937014043
187, 735.560828045721, 317.61412286060715
188, 734.465636966707, 317.2906178518286
189, 734.83617645205, 317.35452756970756
190, 734.4833436670303, 317.2495349358559
191, 734.1875323162126, 317.186142143733
192, 733.7793485989348, 316.7134033403893
193, 734.7257316968029, 317.1206978924284
194, 733.9390849034445, 316.7578601652454
195, 731.1304957097761, 315.708713826354
196, 731.1198522979718, 315.73090250986576
197, 730.0987525672498, 315.45380809580695
198, 732.977378028959, 316.90934840299644
199, 729.1142984447833, 315.0055975042819
200, 729.7137011872346, 315.18748738896903
201, 729.6141426961573, 315.2151451178328
202, 728.402421787779, 314.7864957008159
203, 728.3426421676512, 314.79520744938384
204, 728.4827951844221, 314.9328244654688
205, 729.1208744655154, 315.09540530551874
206, 728.5140911405294, 314.9386101708934
207, 728.0539584245571, 314.69676132118025
208, 727.5094043269933, 314.47507187884236
209, 724.7970426022898, 313.7875542248184
210, 724.813636152378, 313.79028808562185
211, 724.028493330755, 313.4947002170352
212, 724.0464759187105, 313.4346182762157
213, 722.0623386426315, 312.71328738882687
214, 722.8573555978832, 312.9040167329929
215, 721.2755775700177, 312.5054232815714
216, 720.7079599658872, 312.24473111144687
217, 720.9491447676768, 312.31553366802166
218, 720.7731002158994, 312.38026863690516
219, 720.6338226014307, 312.38386894858627
220, 720.7260430963975, 312.28545223659535
221, 717.0323539665396, 311.055833966552
222, 716.7054549616946, 311.03211732091825
223, 716.7222981441328, 311.0876651148303
224, 716.0906044718491, 311.10927250002334
225, 715.1650871401362, 310.7652261908105
226, 716.6286897933079, 311.2950465486022
227, 713.9608231461855, 310.21144062573046
228, 714.294101677955, 310.3660318148658
229, 714.7605581959449, 310.3123368561103
230, 712.9613825765362, 309.7775026178999
231, 712.9294212578658, 309.9290538699232
232, 714.8971136101108, 310.60399542624805
233, 712.8810989583192, 309.81411424546127
234, 712.901521267213, 309.87904154049954
235, 712.7470398127259, 309.82134922773565
236, 712.599422093626, 309.95941890378947
237, 712.4844225043122, 309.68488055735816
238, 714.0313938497084, 310.1002848211763
239, 712.5880452990451, 309.7169035636471
240, 709.0730546837594, 308.3900192730243
241, 710.1150277513539, 308.8714967378747
242, 708.7915968239596, 308.30531518496923
243, 709.0220433988567, 308.3220465947897
244, 708.1781934735692, 308.0134378351971
245, 709.1487001760702, 308.21513138008913
246, 707.9466319128094, 307.72087112667214
247, 707.7187884944794, 307.5985916440699
248, 707.9286010681828, 307.70709640131895
249, 707.7306626982884, 307.62357033489457
250, 707.6344553961795, 307.539039450878
251, 705.9986813864863, 306.906748229577
252, 706.1111395794223, 306.9625725725308
253, 704.939295106922, 306.36143126946996
254, 704.6420723009252, 306.154786102766
255, 704.275159789518, 306.0949579143588
256, 705.0689767197593, 306.2663048482341
257, 703.556949162989, 305.99308464118775
258, 703.7370850044076, 306.1717274108914
259, 703.7328571939493, 306.21055639758856
260, 703.6824646716451, 306.00281238008927
261, 702.2322754304133, 305.5491391135969
262, 702.6515750594788, 305.8082339641134
263, 701.9970376347088, 305.7765216134944
264, 702.739401196882, 306.031506208549
265, 701.501186921399, 305.56836208149406
266, 701.8012003197043, 305.7284121195151
267, 701.283139022705, 305.4593352875653
268, 701.7170983240981, 305.7249341678702
269, 700.9812363404261, 305.47817557954033
270, 701.5191141450842, 305.4734547551568
271, 701.0162216455351, 305.4814544630033
272, 701.3095989523778, 305.79788893649504
273, 700.6979697444842, 305.31444208255056
274, 700.8634891856893, 305.38344590167776
275, 700.4740308691198, 305.3588671593469
276, 700.4171789836807, 305.3001019949422
277, 700.7952479165588, 305.5696988063023
278, 700.2241454340315, 305.25045047641345
279, 700.4027388200377, 305.30138250023947
280, 699.6942453186227, 304.98671627347545
281, 700.0183077563784, 305.12580859599603
282, 699.8591211847028, 305.0503303401514
283, 698.5402572084145, 304.41281569061
284, 698.3036821756208, 304.3260296810719
285, 698.2990070358762, 304.4554534195589
286, 698.0275235307511, 304.31058767034637
287, 697.8218873425344, 304.3294881096541
288, 697.492267005702, 304.12411188939114
289, 697.6074481929313, 304.2550131670036
290, 697.716676542862, 304.31695759972627
291, 697.3982810847538, 304.17605820266084
292, 696.6341710710699, 303.65358394502107
293, 697.1704553511182, 303.83579868710774
294, 696.5779358421433, 303.6211904740069
295, 696.2080130127744, 303.12391393018765
296, 695.3745985041008, 302.8780776481106
297, 695.4731242197921, 302.8343936049552
298, 695.4128469111115, 303.03929419902516
299, 696.1403039735033, 303.214459960093
300, 694.7408922304678, 302.83744070571015
301, 695.1584602932523, 303.0186233197582
302, 695.2729828363589, 303.0347454793356
303, 694.5439980174297, 302.6754706233973
304, 694.5424200877703, 302.68362720879674
305, 693.8822356724997, 302.1476603172774
306, 693.7896028627256, 302.06937095230944
307, 693.8326506291528, 302.2533351152912
308, 693.5941089950581, 302.0181498064451
309, 693.1295769344804, 301.91445301221535
310, 692.9865707663588, 301.81081657875285
311, 692.9630913743032, 301.85441030999004
312, 693.6334367511497, 301.6770587642898
313, 694.265447428286, 302.054981544215
314, 693.2042826263116, 301.877291492985
315, 692.6199786007362, 301.86975601883074
316, 692.5926745375323, 301.7827798391875
317, 697.1888962013923, 302.8622440443647
318, 692.4561710511981, 301.86877230544974
319, 692.0439981150186, 301.6783595738976
320, 691.6634131249336, 301.49005741327176
321, 691.6556240862183, 301.4927616304863
322, 691.5634500837033, 301.46873666317396
323, 690.6753316275687, 300.95012628709765
324, 690.4984691826947, 300.9500181635436
325, 691.7311869743694, 301.35085949894506
326, 690.5293129702584, 300.9807469656404
327, 689.6549327986227, 300.6807532533739
328, 689.4705134685414, 300.63464609684564
329, 688.7861799554036, 300.2185821116576
330, 688.7191856846612, 300.21533698318297
331, 688.7806883531192, 300.2097328705679
332, 688.7861433359053, 300.2469733769023
333, 688.8664915256724, 300.23503145706405
334, 688.6461737264865, 300.1953547984908
335, 688.6941583433728, 300.135971655641
336, 688.811539193196, 300.21613104655313
337, 688.3550702770458, 299.97612489149117
338, 688.3517581646279, 300.0952623751556
339, 688.3617656068428, 300.0632749415801
340, 689.9756982077024, 300.20147838922185
341, 688.1511617618077, 299.93074929075766
342, 688.4591140216759, 300.1002039175783
343, 688.0796389949314, 299.89723766128066
344, 687.9223515203441, 299.99195693733145
345, 687.1811234124128, 299.4513829944848
346, 687.1164279399081, 299.45267539433695
347, 686.7773649644587, 299.3993862035177
348, 686.7470853836522, 299.2181214977049
349, 687.0706677168725, 299.48113933298123
350, 687.1706706955202, 299.38048338973346
351, 686.8324742135561, 299.3149663465433
352, 686.825654603762, 299.33636355944964
353, 686.551463723089, 299.239545889663
354, 686.149428590724, 299.11468720284114
355, 686.0485420079784, 298.9949139940438
356, 685.9425505443098, 298.9436325408134
357, 686.057183907306, 299.1617692688612
358, 685.7006029313513, 299.087534053395
359, 685.6646661254588, 298.82391790790314
360, 685.7047512396133, 299.0563443419316
361, 685.5401172538807, 298.7615553574701
362, 685.1548295719991, 298.7379854414514
363, 685.1143038817606, 298.7320623998005
364, 685.1220928021359, 298.82298671055196
365, 685.6618698120839, 299.11779507734707
366, 685.4567176289811, 299.1297989796582
367, 684.8504546018332, 298.654403173024
368, 685.0425204854705, 298.7863727115524
369, 684.8252701498714, 298.6486947354266
370, 684.559609498863, 298.66592107564446
371, 684.3784550417869, 298.61740947084064
372, 685.2210211428546, 299.06602216670154
373, 684.3645227474926, 298.71394006829115
374, 683.6122897041222, 298.5627723111691
375, 683.5081894457497, 298.75371468505966
376, 683.3318220825143, 298.7300639746063
377, 683.2974837253314, 298.73166627019293
378, 683.3325877436631, 298.7219450097204
379, 683.1338905224086, 299.0048325719825
380, 682.9569721977316, 298.57320876385575
381, 682.419800983914, 298.2644908810229
382, 682.1797216856079, 298.00794916503224
383, 682.4736473443445, 298.325620311701
384, 682.2825404115429, 297.9090793130429
385, 682.0572846182838, 297.8904350682441
386, 682.2616375001936, 297.9984505599373
387, 681.8955796801146, 297.6946484313969
388, 681.6629989994839, 297.5790422663273
389, 683.0178030313432, 298.3313189513286
390, 682.3129313848486, 298.25286868201067
391, 681.6841882851636, 297.7551387047521
392, 681.7535190033535, 297.73932000460536
393, 681.3901470206279, 297.5892976133849
394, 681.2811696128829, 297.5529265126396
395, 681.2817506436085, 297.5388295456466
396, 681.1969910223227, 297.50846914046053
397, 681.1515995831837, 297.51506041390104
398, 681.5565430735562, 297.75247753682066
399, 681.8247413522632, 297.690252205501
400, 681.353030113843, 297.55360310769566
401, 681.6685732162391, 297.6680648382726
402, 681.1300203227495, 297.28358630030664
403, 680.754746944243, 297.26228818307504
404, 680.7868126094902, 297.260931691373
405, 679.5782328594465, 296.58918269299585
406, 679.7058674890363, 296.6020771322914
407, 679.6583840703711, 296.31068107281556
408, 679.3200293884399, 296.448018785934
409, 679.492007690698, 296.56553593629684
410, 679.2527531938601, 296.53453149432994
411, 679.1772971277443, 296.39766678502315
412, 678.9957062605756, 296.1679000647989
413, 679.0209493269635, 296.18496221018415
414, 679.1023092829604, 296.24430603515145
415, 679.0078331639104, 296.04058549494914
416, 678.4268723558807, 296.07548323557234
417, 678.322776789418, 295.9524845582007
418, 678.2320566302086, 296.0000191874585
419, 678.0558591692, 295.9332834217414
420, 677.7944641002108, 295.9999997582062
421, 677.8441191745021, 296.0526535173914
422, 677.7219625694771, 296.10226934938845
423, 677.1335018379958, 295.72882651195226
424, 677.4139253619345, 296.1476221743384
425, 676.9854627680658, 295.7124516057746
426, 676.574546367715, 295.5539043227577
427, 676.388783632729, 295.32536289085755
428, 676.5761131073037, 295.3654108924746
429, 676.423351010915, 295.4255282256407
430, 676.3443032735144, 295.51814397072013
431, 676.0861251063845, 295.3931276860634
432, 675.8818382046676, 295.2979988397839
433, 675.8781875967736, 295.2223969560586
434, 675.7504630281057, 295.22411120898715
435, 675.7710446081875, 295.08100442218966
436, 675.7507853033901, 295.0743409142733
437, 675.5809593239292, 295.06310730772884
438, 675.7215452866776, 295.04683000256193
439, 675.4326967196503, 294.9160554734655
440, 674.8193801046041, 294.5850543919876
441, 674.5622934975347, 294.4634585633894
442, 674.7371881144857, 294.3919408945644
443, 674.4853889768539, 294.2463604408226
444, 674.4812958806198, 294.2293682158304
445, 674.9343620799219, 294.5978573176102
446, 674.5903923521643, 294.46743506386076
447, 674.4320693623355, 294.3973826332705
448, 674.722597176413, 294.5534158882656
449, 673.7667799012781, 294.13143894626154
450, 673.8483491468817, 294.1644579782967
451, 674.8800244234938, 294.6802194299311
452, 674.1986035159788, 294.3674063895811
453, 674.4303598552804, 294.3742236431861
454, 673.9633881791844, 294.29440302372865
455, 673.7806097581421, 294.2433421412158
456, 673.4148816110076, 294.1080713231103
457, 673.3830430553714, 294.10576324782056
458, 673.3113313712363, 293.96130110288357
459, 673.1731070993776, 293.9796588610835
460, 672.9880408309836, 294.0042957126107
461, 673.0128622918066, 293.9949708418546
462, 673.2566671331585, 294.0440419801347
463, 672.8182545779082, 294.0228873966283
464, 672.7344192584231, 293.98976296978515
465, 672.7031190234866, 293.98117291941116
466, 672.7110724282347, 294.00085089830725
467, 672.8965634824726, 294.0477715620376
468, 672.7593652730556, 294.0068423315096
469, 672.3371547187492, 293.8346005209324
470, 672.3367485427718, 294.0017016822876
471, 672.1883121756672, 293.83766135107373
472, 672.3856643666428, 293.8892819178868
473, 672.363471349963, 293.7827144801885
474, 672.2328526975637, 293.84292909475
475, 672.2280787039264, 293.81665835371496
476, 672.3261848770851, 293.8722992019186
477, 671.7302227475213, 293.4960114978894
478, 672.0932124786647, 293.73047309131107
479, 671.5870217561742, 293.4296493530957
480, 671.8954246044609, 293.42488883075936
481, 671.4152829509657, 293.3557539765941
482, 671.4195357679348, 293.4122336718791
483, 671.3169106513387, 293.43857673054316
484, 670.9707175234595, 293.21609138071335
485, 673.0599585944918, 294.7513274492026
486, 670.6305683169871, 292.9892012867049
487, 670.9300292251135, 293.03171591618775
488, 670.5052432373706, 293.0265522432935
489, 670.3760809197304, 293.0516628664445
490, 671.3250812237279, 293.26239799172276
491, 670.3481835811826, 293.0208483278782
492, 669.8764006046931, 292.895650277208
493, 669.8613281469815, 292.760914450398
494, 670.7365899254256, 293.947069236341
495, 669.59179997591, 292.6642973443422
496, 669.6735191913303, 292.68746095051074
497, 669.5097891564027, 292.8552890700095
498, 669.507115924719, 292.8592393550813
499, 669.5576224638686, 292.80133293104353
